Binomial,,,,,,,,,,,,,,,,,,,
Abditomys latidens,,,,,,,,,,,,,,,,,,,
Abeomelomys sevia,Melomys sevia,Pogonomelomys sevia,,,,,,,,,,,,,,,,,
Abrawayaomys ruschii,,,,,,,,,,,,,,,,,,,
Abrocoma bennettii,,,,,,,,,,,,,,,,,,,
Abrocoma boliviensis,,,,,,,,,,,,,,,,,,,
Abrocoma budini,,,,,,,,,,,,,,,,,,,
Abrocoma cinerea,,,,,,,,,,,,,,,,,,,
Abrocoma famatina,,,,,,,,,,,,,,,,,,,
Abrocoma shistacea,,,,,,,,,,,,,,,,,,,
Abrocoma uspallata,,,,,,,,,,,,,,,,,,,
Abrocoma vaccarum,,,,,,,,,,,,,,,,,,,
Abrothrix andinus,Chroeomys andinus,,,,,,,,,,,,,,,,,,
Abrothrix illutea,Akodon illuteus,,,,,,,,,,,,,,,,,,
Abrothrix jelskii,Chroeomys jelskii,,,,,,,,,,,,,,,,,,
Abrothrix lanosus,Akodon lanosus,,,,,,,,,,,,,,,,,,
Abrothrix longipilis,Akodon longipilis,,,,,,,,,,,,,,,,,,
Abrothrix olivaceus,Abrothrix hershkovitzi,Abrothrix markhami,Akodon mansoensis,Akodon olivaceus,Akodon xanthorhinus,,,,,,,,,,,,,,
Abrothrix sanborni,Akodon sanborni,,,,,,,,,,,,,,,,,,
Acerodon celebensis,,,,,,,,,,,,,,,,,,,
Acerodon humilis,,,,,,,,,,,,,,,,,,,
Acerodon jubatus,Acerodon lucifer,,,,,,,,,,,,,,,,,,
Acerodon leucotis,,,,,,,,,,,,,,,,,,,
Acerodon mackloti,,,,,,,,,,,,,,,,,,,
Acinonyx jubatus,Felis jubata,,,,,,,,,,,,,,,,,,
Acomys airensis,,,,,,,,,,,,,,,,,,,
Acomys cahirinus,Acomys chudeaui,,,,,,,,,,,,,,,,,,
Acomys cilicicus,,,,,,,,,,,,,,,,,,,
Acomys cineraceus,Acomys cinerasceus,,,,,,,,,,,,,,,,,,
Acomys dimidiatus,Acomys cahirinus subspecies dimidiatus,Acomys flavidus,Mus dimidiatus,,,,,,,,,,,,,,,,
Acomys ignitus,,,,,,,,,,,,,,,,,,,
Acomys johannis,,,,,,,,,,,,,,,,,,,
Acomys kempi,,,,,,,,,,,,,,,,,,,
Acomys louisae,,,,,,,,,,,,,,,,,,,
Acomys minous,,,,,,,,,,,,,,,,,,,
Acomys mullah,,,,,,,,,,,,,,,,,,,
Acomys nesiotes,,,,,,,,,,,,,,,,,,,
Acomys percivali,,,,,,,,,,,,,,,,,,,
Acomys russatus,Acomys lewisi,,,,,,,,,,,,,,,,,,
Acomys seurati,,,,,,,,,,,,,,,,,,,
Acomys spinosissimus,,,,,,,,,,,,,,,,,,,
Acomys subspinosus,,,,,,,,,,,,,,,,,,,
Acomys wilsoni,,,,,,,,,,,,,,,,,,,
Aconaemys fuscus,,,,,,,,,,,,,,,,,,,
Aconaemys porteri,,,,,,,,,,,,,,,,,,,
Aconaemys sagei,,,,,,,,,,,,,,,,,,,
Acrobates pygmaeus,Didelphis pygmaea,,,,,,,,,,,,,,,,,,
Addax nasomaculatus,,,,,,,,,,,,,,,,,,,
Aegialomys galapagoensis,Oryzomys bauri,Oryzomys galapagoensis,,,,,,,,,,,,,,,,,
Aegialomys xanthaeolus,Oryzomys xanthaeolus,Oryzomys xantheolus,,,,,,,,,,,,,,,,,
Aepeomys lugens,,,,,,,,,,,,,,,,,,,
Aepeomys reigi,,,,,,,,,,,,,,,,,,,
Aepyceros melampus,,,,,,,,,,,,,,,,,,,
Aepyprymnus rufescens,,,,,,,,,,,,,,,,,,,
Aeretes melanopterus,Pteromys melanopterus,,,,,,,,,,,,,,,,,,
Aeromys tephromelas,Pteromys tephromelas,,,,,,,,,,,,,,,,,,
Aeromys thomasi,,,,,,,,,,,,,,,,,,,
Aethalops aequalis,,,,,,,,,,,,,,,,,,,
Aethalops alecto,,,,,,,,,,,,,,,,,,,
Aethomys bocagei,,,,,,,,,,,,,,,,,,,
Aethomys chrysophilus,,,,,,,,,,,,,,,,,,,
Aethomys hindei,,,,,,,,,,,,,,,,,,,
Aethomys ineptus,,,,,,,,,,,,,,,,,,,
Aethomys kaiseri,,,,,,,,,,,,,,,,,,,
Aethomys nyikae,,,,,,,,,,,,,,,,,,,
Aethomys silindensis,,,,,,,,,,,,,,,,,,,
Aethomys stannarius,,,,,,,,,,,,,,,,,,,
Aethomys thomasi,,,,,,,,,,,,,,,,,,,
Ailuropoda melanoleuca,Ursus melanoleucus,,,,,,,,,,,,,,,,,,
Ailurops melanotis,,,,,,,,,,,,,,,,,,,
Ailurops ursinus,Phalanger ursinus,,,,,,,,,,,,,,,,,,
Ailurus fulgens,Ailurus styani,,,,,,,,,,,,,,,,,,
